kickoff_utc,league,game,method,match_score,toto_margin_pct,vbet_margin_pct,toto_home,vbet_home,diff_home,best_home,toto_draw,vbet_draw,diff_draw,best_draw,toto_away,vbet_away,diff_away,best_away
2026-07-23T17:00:00+00:00,Club Friendlies,FC Bayern Alzenau vs VfR Wormatia 08 Worms,fuzzy,100.0,7.33,6.76,1.82,1.8,0.02,toto,4.2,4.2,0.0,equal,3.5,3.65,-0.15,vbet
2026-07-23T19:00:00+00:00,Club Friendlies,Cordoba CF vs Sevilla,fuzzy,100.0,7.37,7.02,2.9,2.92,-0.02,vbet,3.4,3.35,0.05,toto,2.3,2.33,-0.03,vbet
2026-07-23T16:30:00+00:00,Club Friendlies,Royal Francs-Borains vs Royale Union Tubize-Braine,fuzzy,100.0,8.13,6.84,1.76,1.72,0.04,toto,4.0,4.4,-0.4,vbet,3.8,3.85,-0.05,vbet
2026-07-23T16:30:00+00:00,Club Friendlies,Skive IK vs Holstebro BK,fuzzy,100.0,7.59,7.05,1.72,1.76,-0.04,vbet,3.9,3.87,0.03,toto,4.2,4.1,0.1,toto
2026-07-23T15:30:00+00:00,Club Friendlies,Venezia vs Vis Pesaro,fuzzy,100.0,7.02,5.27,1.1,1.08,0.02,toto,9.0,12.0,-3.0,vbet,20.0,23.0,-3.0,vbet
2026-07-23T16:30:00+00:00,Club Friendlies,FC Breitenrain Bern vs FC Solothurn,fuzzy,100.0,7.64,6.59,1.5,1.5,0.0,equal,4.6,4.6,0.0,equal,5.2,5.5,-0.3,vbet
2026-07-23T18:30:00+00:00,Club Friendlies,FC Biel Bienne vs FC Prishtina Bern,fuzzy,100.0,6.55,7.16,1.48,1.48,0.0,equal,4.6,4.6,0.0,equal,5.8,5.6,0.2,toto
2026-08-12T19:00:00+00:00,UEFA Super Cup,Paris Saint-Germain vs Aston Villa,fuzzy,100.0,5.37,7.19,1.68,1.67,0.01,toto,3.9,3.91,-0.01,vbet,4.95,4.6,0.35,toto
2026-07-23T17:00:00+00:00,UEFA Europa League Qualification,Hammarby IF vs RSC Anderlecht,fuzzy,100.0,8.22,7.11,1.8,1.83,-0.03,vbet,3.7,3.71,-0.01,vbet,3.9,3.92,-0.02,vbet
2026-07-23T17:00:00+00:00,UEFA Europa League Qualification,Tromso IL vs FC Hradec Kralove,fuzzy,100.0,8.07,6.87,1.37,1.4,-0.03,vbet,4.6,4.6,0.0,equal,7.5,7.3,0.2,toto
2026-07-23T18:00:00+00:00,UEFA Europa League Qualification,FC St. Gallen vs SL Benfica,fuzzy,100.0,8.91,7.03,7.0,7.2,-0.2,vbet,5.0,5.4,-0.4,vbet,1.34,1.34,0.0,equal
2026-07-23T18:00:00+00:00,UEFA Europa League Qualification,Besiktas vs FC Midtjylland,fuzzy,100.0,8.34,7.02,2.25,2.24,0.01,toto,3.4,3.47,-0.07,vbet,2.9,2.98,-0.08,vbet
2026-07-23T18:00:00+00:00,UEFA Europa League Qualification,Twente vs Ferencvarosi TC,fuzzy,100.0,7.7,7.52,1.49,1.49,0.0,equal,4.4,4.5,-0.1,vbet,5.6,5.5,0.1,toto
2026-07-23T19:00:00+00:00,UEFA Europa League Qualification,HNK Hajduk Split vs Pafos FC,fuzzy,100.0,8.6,6.97,2.05,2.07,-0.02,vbet,3.2,3.37,-0.17,vbet,3.5,3.45,0.05,toto
2026-07-23T17:00:00+00:00,UEFA Europa League Qualification,Dynamo Kyiv vs PAOK FC,fuzzy,100.0,8.17,7.12,2.6,2.73,-0.13,vbet,3.2,3.23,-0.03,vbet,2.6,2.53,0.07,toto
2026-07-23T17:00:00+00:00,UEFA Europa League Qualification,FC Sheriff Tiraspol vs Maccabi Tel Aviv FC,fuzzy,100.0,9.03,6.87,3.0,3.0,0.0,equal,3.2,3.37,-0.17,vbet,2.25,2.28,-0.03,vbet
2026-07-29T17:00:00+00:00,UEFA Champions League Qualification,KKS Lech Poznan vs Aarhus GF,fuzzy,100.0,8.56,7.06,1.84,1.89,-0.05,vbet,3.5,3.5,0.0,equal,3.9,3.91,-0.01,vbet
2026-07-29T18:00:00+00:00,UEFA Champions League Qualification,Gornik Zabrze vs Fenerbahce,fuzzy,100.0,8.58,6.94,4.4,4.4,0.0,equal,3.7,3.74,-0.04,vbet,1.7,1.74,-0.04,vbet
2026-07-29T15:00:00+00:00,UEFA Champions League Qualification,FC Kairat Almaty vs Omonia Nicosia,fuzzy,100.0,8.62,6.97,2.5,2.53,-0.03,vbet,3.1,3.19,-0.09,vbet,2.75,2.77,-0.02,vbet
2026-07-23T18:00:00+00:00,UEFA Conference League Qualification,Paksi SE vs Panathinaikos,fuzzy,100.0,8.84,6.97,4.6,4.6,0.0,equal,4.2,4.4,-0.2,vbet,1.58,1.6,-0.02,vbet
2026-07-23T17:45:00+00:00,UEFA Conference League Qualification,FCSB vs FK Auda,fuzzy,100.0,8.67,6.54,1.14,1.1,0.04,toto,7.0,9.2,-2.2,vbet,15.0,21.0,-6.0,vbet
2026-07-23T18:30:00+00:00,UEFA Conference League Qualification,FC LNZ Cherkasy vs KAA Gent,fuzzy,100.0,7.91,7.13,3.9,4.2,-0.3,vbet,3.2,3.23,-0.03,vbet,1.96,1.91,0.05,toto
2026-07-23T16:30:00+00:00,UEFA Conference League Qualification,AEK Larnaca vs Beitar Jerusalem,fuzzy,100.0,9.82,7.1,2.0,2.1,-0.1,vbet,3.2,3.17,0.03,toto,3.5,3.58,-0.08,vbet
2026-07-23T18:30:00+00:00,UEFA Conference League Qualification,FC Lugano vs KF Dukagjini,fuzzy,100.0,8.59,7.26,1.15,1.11,0.04,toto,6.5,8.4,-1.9,vbet,16.0,19.0,-3.0,vbet
2026-07-23T16:00:00+00:00,UEFA Conference League Qualification,HJK Helsinki vs Coleraine FC,fuzzy,100.0,8.11,7.18,1.3,1.27,0.03,toto,5.6,5.9,-0.3,vbet,7.5,8.7,-1.2,vbet
2026-07-23T19:15:00+00:00,UEFA Conference League Qualification,Valur Reykjavik FC vs HSK Zrinjski Mostar,fuzzy,100.0,8.6,7.06,2.8,2.66,0.14,toto,3.4,3.47,-0.07,vbet,2.3,2.46,-0.16,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,FC Zimbru Chisinau vs FC Noah,fuzzy,100.0,8.14,7.23,4.5,4.4,0.1,toto,3.6,3.7,-0.1,vbet,1.72,1.74,-0.02,vbet
2026-07-23T18:45:00+00:00,UEFA Conference League Qualification,FC Motherwell vs Havnar Boltfelag,fuzzy,100.0,8.41,7.02,1.09,1.06,0.03,toto,9.0,12.0,-3.0,vbet,18.0,23.0,-5.0,vbet
2026-07-23T15:30:00+00:00,UEFA Conference League Qualification,FK Panevezys vs FC Tobol,fuzzy,100.0,8.82,5.05,3.9,3.58,0.32,toto,3.4,3.59,-0.19,vbet,1.86,2.03,-0.17,vbet
2026-07-23T18:00:00+00:00,UEFA Conference League Qualification,FC Polissya Zhytomyr vs FC Copenhagen,fuzzy,100.0,8.21,6.92,4.0,4.2,-0.2,vbet,3.7,3.67,0.03,toto,1.78,1.79,-0.01,vbet
2026-07-23T18:30:00+00:00,UEFA Conference League Qualification,Hapoel Tel Aviv vs PFC Ludogorets Razgrad,fuzzy,100.0,8.96,7.01,3.2,3.32,-0.12,vbet,3.1,3.12,-0.02,vbet,2.2,2.23,-0.03,vbet
2026-07-28T17:00:00+00:00,UEFA Conference League Qualification,Riga FC vs FK Vardar,fuzzy,100.0,8.44,6.87,1.4,1.4,0.0,equal,4.4,4.6,-0.2,vbet,7.0,7.3,-0.3,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,FK ML Vitebsk vs FK Sutjeska Niksic,fuzzy,100.0,8.29,7.14,1.68,1.63,0.05,toto,3.7,3.94,-0.24,vbet,4.6,4.9,-0.3,vbet
2026-07-23T19:00:00+00:00,UEFA Conference League Qualification,FK Partizan Belgrade vs UNA Strassen,fuzzy,100.0,9.29,7.05,1.12,1.07,0.05,toto,7.5,12.0,-4.5,vbet,15.0,19.0,-4.0,vbet
2026-07-23T18:45:00+00:00,UEFA Conference League Qualification,NSI Runavik vs FC Koper,fuzzy,100.0,9.57,6.95,2.8,2.86,-0.06,vbet,3.4,3.58,-0.18,vbet,2.25,2.27,-0.02,vbet
2026-07-23T16:30:00+00:00,UEFA Conference League Qualification,FK DAC Dunajska Streda vs FK Velez Mostar,fuzzy,100.0,8.98,7.16,1.21,1.16,0.05,toto,5.8,7.0,-1.2,vbet,11.0,15.0,-4.0,vbet
2026-07-23T18:45:00+00:00,UEFA Conference League Qualification,NK Bravo vs KF Shkendija,fuzzy,100.0,9.53,7.04,1.94,1.81,0.13,toto,3.4,3.75,-0.35,vbet,3.5,3.98,-0.48,vbet
2026-07-23T16:00:00+00:00,UEFA Conference League Qualification,FC Dila Gori vs Apollon Limassol,fuzzy,100.0,8.82,6.87,4.2,4.33,-0.13,vbet,3.2,3.27,-0.07,vbet,1.86,1.88,-0.02,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,FC BATE Borisov vs FC Sion,fuzzy,100.0,8.92,6.98,11.0,11.0,0.0,equal,5.6,5.8,-0.2,vbet,1.22,1.24,-0.02,vbet
2026-07-23T18:45:00+00:00,UEFA Conference League Qualification,Shelbourne FC vs JK Nomme Kalju,fuzzy,100.0,8.57,7.18,1.4,1.4,0.0,equal,4.2,4.33,-0.13,vbet,7.5,7.9,-0.4,vbet
2026-07-23T18:45:00+00:00,UEFA Conference League Qualification,HNK Rijeka vs Derry City,fuzzy,100.0,7.88,7.1,1.12,1.09,0.03,toto,7.5,8.4,-0.9,vbet,19.0,29.0,-10.0,vbet
2026-07-23T18:30:00+00:00,UEFA Conference League Qualification,MSK Zilina vs GKS Katowice,fuzzy,100.0,8.63,6.92,2.55,2.56,-0.01,vbet,3.4,3.53,-0.13,vbet,2.5,2.53,-0.03,vbet
2026-07-23T18:00:00+00:00,UEFA Conference League Qualification,FK Vojvodina vs Ajax Amsterdam,fuzzy,100.0,9.32,6.77,6.0,7.0,-1.0,vbet,4.4,4.75,-0.35,vbet,1.43,1.4,0.03,toto
2026-07-23T19:00:00+00:00,UEFA Conference League Qualification,Stjarnan FC vs FC Ilves,fuzzy,100.0,9.22,6.88,2.6,2.6,0.0,equal,3.8,3.98,-0.18,vbet,2.25,2.31,-0.06,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,Dinamo Tbilisi vs FK Zalgiris,fuzzy,100.0,9.07,6.89,2.15,2.13,0.02,toto,3.1,3.23,-0.13,vbet,3.3,3.45,-0.15,vbet
2026-07-23T18:00:00+00:00,UEFA Conference League Qualification,NK Aluminij Kidricevo vs FC Dinamo City,fuzzy,100.0,8.86,6.99,2.65,2.69,-0.04,vbet,3.3,3.41,-0.11,vbet,2.45,2.47,-0.02,vbet
2026-07-23T16:30:00+00:00,UEFA Conference League Qualification,FC RFS vs FC IF Vestri,fuzzy,100.0,8.33,6.97,1.04,1.03,0.01,toto,12.0,17.0,-5.0,vbet,26.0,25.0,1.0,toto
2026-07-23T18:00:00+00:00,UEFA Conference League Qualification,NK Varazdin vs FK Jablonec,fuzzy,100.0,8.16,6.83,2.7,2.7,0.0,equal,3.3,3.27,0.03,toto,2.45,2.55,-0.1,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,FC Universitatea Cluj vs SK Brann,fuzzy,100.0,8.87,6.99,3.5,3.7,-0.2,vbet,3.3,3.31,-0.01,vbet,2.0,2.01,-0.01,vbet
2026-07-23T17:00:00+00:00,UEFA Conference League Qualification,FC Santa Coloma vs SK Rapid Wien,fuzzy,100.0,9.31,6.89,10.0,11.0,-1.0,vbet,6.0,6.6,-0.6,vbet,1.21,1.21,0.0,equal
2026-07-23T16:00:00+00:00,UEFA Conference League Qualification,Debreceni VSC vs FC Pyunik,fuzzy,100.0,8.76,6.99,1.84,1.74,0.1,toto,3.4,3.6,-0.2,vbet,4.0,4.6,-0.6,vbet
2026-07-23T18:30:00+00:00,UEFA Conference League Qualification,FK Borac Banja Luka vs FC Petrocub,fuzzy,100.0,8.83,7.05,1.42,1.41,0.01,toto,4.6,5.0,-0.4,vbet,6.0,6.2,-0.2,vbet
2026-07-23T16:00:00+00:00,UEFA Conference League Qualification,FC Flora Tallinn vs The New Saints FC,fuzzy,100.0,8.95,7.04,2.2,2.23,-0.03,vbet,3.6,3.64,-0.04,vbet,2.8,2.88,-0.08,vbet
2026-07-24T00:30:00+00:00,Copa Sudamericana,Boca Juniors vs O´Higgins FC,fuzzy,100.0,7.06,7.56,1.27,1.25,0.02,toto,5.2,5.2,0.0,equal,11.0,12.0,-1.0,vbet
2026-07-23T22:00:00+00:00,Copa Sudamericana,Club Bolivar vs Gremio FB Porto Alegrense,fuzzy,100.0,7.37,6.55,1.6,1.58,0.02,toto,3.9,4.1,-0.2,vbet,5.2,5.3,-0.1,vbet
2026-07-28T22:00:00+00:00,Copa Sudamericana,CA Tigre BA vs Club Nacional Montevideo,fuzzy,100.0,8.28,6.95,2.1,2.09,0.01,toto,3.4,3.32,0.08,toto,3.2,3.45,-0.25,vbet
2026-07-29T22:00:00+00:00,Copa Sudamericana,CR Vasco da Gama vs Independiente Medellin,fuzzy,100.0,6.25,6.63,1.68,1.66,0.02,toto,3.8,3.79,0.01,toto,4.9,5.0,-0.1,vbet
2026-07-29T00:30:00+00:00,Copa Sudamericana,Santos SP vs UCV FC,fuzzy,100.0,7.31,7.31,1.24,1.24,0.0,equal,6.0,6.0,0.0,equal,10.0,10.0,0.0,equal
2026-08-11T22:00:00+00:00,Copa Libertadores,Fluminense vs Independiente Rivadavia,fuzzy,100.0,6.43,7.14,1.56,1.56,0.0,equal,4.2,4.2,0.0,equal,5.4,5.2,0.2,toto
2026-08-12T22:00:00+00:00,Copa Libertadores,CA Platense Buenos Aires vs CD Coquimbo Unido,fuzzy,100.0,5.86,7.27,1.8,1.77,0.03,toto,3.3,3.25,0.05,toto,5.0,5.0,0.0,equal
2026-08-12T00:30:00+00:00,Copa Libertadores,Estudiantes La Plata vs CD Universidad Catolica Santiago,fuzzy,100.0,6.0,7.2,1.72,1.72,0.0,equal,3.7,3.66,0.04,toto,4.8,4.6,0.2,toto
2026-08-12T00:30:00+00:00,Copa Libertadores,Deportes Tolima vs Independiente del Valle,fuzzy,100.0,5.88,7.04,2.55,2.54,0.01,toto,3.3,3.25,0.05,toto,2.75,2.71,0.04,toto
2026-08-12T22:00:00+00:00,Copa Libertadores,SE Palmeiras vs Club Cerro Porteno Asuncion,fuzzy,100.0,6.03,6.68,1.36,1.35,0.01,toto,5.0,4.9,0.1,toto,8.0,8.2,-0.2,vbet
2026-08-13T22:00:00+00:00,Copa Libertadores,Mirassol FC vs LDU Quito,fuzzy,100.0,5.96,6.97,1.94,1.93,0.01,toto,3.4,3.25,0.15,toto,4.0,4.1,-0.1,vbet
2026-08-14T00:30:00+00:00,Copa Libertadores,CA Rosario Central vs Corinthians SP,fuzzy,100.0,6.12,6.91,2.2,2.28,-0.08,vbet,3.2,3.08,0.12,toto,3.4,3.27,0.13,toto
2026-08-13T00:30:00+00:00,Copa Libertadores,Cruzeiro EC vs Regatas Flamengo RJ,fuzzy,100.0,5.77,7.01,2.65,2.61,0.04,toto,3.3,3.23,0.07,toto,2.65,2.65,0.0,equal
2026-07-25T18:00:00+00:00,Primera Nacional,Estudiantes de Caseros vs Ciudad de Bolivar,fuzzy,100.0,9.02,7.28,1.68,1.69,-0.01,vbet,3.1,3.18,-0.08,vbet,5.8,6.0,-0.2,vbet
2026-07-25T19:00:00+00:00,Primera Nacional,Atletico Rafaela vs CA Nueva Chicago,fuzzy,100.0,9.57,7.04,2.25,2.28,-0.03,vbet,2.8,2.85,-0.05,vbet,3.4,3.56,-0.16,vbet
2026-07-25T22:00:00+00:00,Primera Nacional,San Martin de Tucuman vs CA Temperley,fuzzy,100.0,8.84,6.83,1.96,2.02,-0.06,vbet,2.85,2.89,-0.04,vbet,4.4,4.4,0.0,equal
2026-07-25T18:00:00+00:00,Primera Nacional,Tristan Suarez vs Chacarita Juniors,fuzzy,100.0,9.46,7.14,1.9,1.92,-0.02,vbet,2.85,2.96,-0.11,vbet,4.6,4.7,-0.1,vbet
2026-07-26T18:00:00+00:00,Primera Nacional,CA Los Andes vs CS Deportivo Madryn,fuzzy,100.0,9.4,6.86,1.98,2.0,-0.02,vbet,2.85,2.93,-0.08,vbet,4.2,4.4,-0.2,vbet
2026-07-26T18:00:00+00:00,Primera Nacional,CD Moron vs Club Ferro Carril Oeste,fuzzy,100.0,9.6,7.01,2.2,2.25,-0.05,vbet,2.75,2.82,-0.07,vbet,3.6,3.69,-0.09,vbet
2026-07-26T18:00:00+00:00,Primera Nacional,CA All Boys vs CA Defensores de Belgrano,fuzzy,100.0,9.71,6.92,2.4,2.49,-0.09,vbet,2.65,2.69,-0.04,vbet,3.3,3.38,-0.08,vbet
2026-07-26T18:30:00+00:00,Primera Nacional,CA Colon de Santa Fe vs CA Chaco For Ever,fuzzy,100.0,10.18,6.73,1.56,1.56,0.0,equal,3.4,3.61,-0.21,vbet,6.0,6.7,-0.7,vbet
2026-07-26T19:00:00+00:00,Primera Nacional,Racing de Cordoba vs CA San Telmo,fuzzy,100.0,9.27,7.21,1.62,1.62,0.0,equal,3.3,3.47,-0.17,vbet,5.8,6.0,-0.2,vbet
2026-07-26T19:00:00+00:00,Primera Nacional,Quilmes AC vs CA Colegiales,fuzzy,100.0,9.99,7.11,1.72,1.73,-0.01,vbet,3.0,3.18,-0.18,vbet,5.4,5.6,-0.2,vbet
2026-07-26T19:00:00+00:00,Primera Nacional,CA Ferrocarril Midland vs CA Patronato,fuzzy,100.0,9.4,7.25,1.86,1.88,-0.02,vbet,2.95,3.01,-0.06,vbet,4.6,4.8,-0.2,vbet
2026-07-26T19:00:00+00:00,Primera Nacional,CA Mitre (SdE) vs Almirante Brown,fuzzy,100.0,9.93,6.8,2.3,2.39,-0.09,vbet,2.7,2.78,-0.08,vbet,3.4,3.45,-0.05,vbet
2026-07-26T19:30:00+00:00,Primera Nacional,Godoy Cruz AT vs CA Central Norte Salta,fuzzy,100.0,10.0,7.02,1.68,1.7,-0.02,vbet,3.2,3.37,-0.17,vbet,5.2,5.4,-0.2,vbet
2026-07-26T21:00:00+00:00,Primera Nacional,Club Gimnasia y Tiro Salta vs CD Maipu,fuzzy,100.0,10.96,7.27,1.9,1.93,-0.03,vbet,3.0,3.16,-0.16,vbet,4.0,4.2,-0.2,vbet
2026-07-26T18:30:00+00:00,Primera Nacional,CA San Miguel vs CA Acassuso,fuzzy,100.0,10.42,6.85,1.6,1.61,-0.01,vbet,3.2,3.38,-0.18,vbet,6.0,6.6,-0.6,vbet
2026-07-27T23:00:00+00:00,Primera Nacional,CA Atlanta vs Club Almagro,fuzzy,100.0,10.04,6.84,1.6,1.62,-0.02,vbet,3.3,3.45,-0.15,vbet,5.8,6.2,-0.4,vbet
2026-07-24T22:00:00+00:00,Liga Profesional,Velez Sarsfield vs Instituto AC Cordoba,fuzzy,100.0,6.05,7.07,2.15,2.12,0.03,toto,2.95,2.93,0.02,toto,3.9,3.88,0.02,toto
2026-07-25T00:15:00+00:00,Liga Profesional,CA Huracan vs CA Banfield,fuzzy,100.0,6.28,6.99,1.94,1.89,0.05,toto,2.95,2.97,-0.02,vbet,4.8,4.9,-0.1,vbet
2026-07-25T00:15:00+00:00,Liga Profesional,CA Platense Buenos Aires vs CA Union de Santa Fe,fuzzy,100.0,5.33,6.91,2.8,2.78,0.02,toto,2.8,2.7,0.1,toto,2.95,2.95,0.0,equal
2026-07-23T22:30:00+00:00,Liga Profesional,CA Belgrano Cordoba vs CA Rosario Central,fuzzy,100.0,5.88,7.04,2.55,2.51,0.04,toto,2.75,2.64,0.11,toto,3.3,3.41,-0.11,vbet
2026-07-26T22:30:00+00:00,Liga Profesional,Deportivo Riestra vs Boca Juniors,fuzzy,100.0,5.99,6.82,4.4,4.5,-0.1,vbet,2.9,2.83,0.07,toto,2.05,2.03,0.02,toto
2026-07-24T19:45:00+00:00,Liga Profesional,Gimnasia y Esgrima de Mendoza vs Central Cordoba SdE,fuzzy,100.0,5.6,7.11,1.84,1.83,0.01,toto,3.2,3.14,0.06,toto,5.0,4.85,0.15,toto
2026-07-24T22:00:00+00:00,Liga Profesional,Racing Club Avellaneda vs Gimnasia y Esgrima La Plata,fuzzy,100.0,5.86,6.99,1.8,1.75,0.05,toto,3.3,3.35,-0.05,vbet,5.0,5.0,0.0,equal
2026-07-25T22:15:00+00:00,Liga Profesional,CA River Plate BA vs Barracas Central,fuzzy,100.0,6.35,6.74,1.4,1.36,0.04,toto,4.2,4.5,-0.3,vbet,9.0,9.1,-0.1,vbet
2026-07-26T00:30:00+00:00,Liga Profesional,CA Lanus vs San Lorenzo de Almagro,fuzzy,100.0,6.83,6.92,2.0,2.01,-0.01,vbet,2.85,2.72,0.13,toto,4.6,4.9,-0.3,vbet
